"","hit","speed","hprice","price","time","qualif","title","desc","first","last","max","min","meanspeed","varspeed","group","date","order"
"18","20NENHMVHVKCAQO679Y4N7APS06247",0,0.36,0.18,1800,"[ ""Total approved HITs is not less than 500"" , ""HIT approval rate (%) is not less than 96"" , ""Location is AU"" , ""Location is NZ"" , ""Location is US""]","Find url information for companies","Given the company information find the official URL for the company",6,108,570,570,0,0,161,"2014-01-22-01-37",2
"19","20NENHMVHVKCE1G2S7Y4N79TSXA243",NA,0.136708860759494,0.03,790,"[ ""HIT approval rate (%) is greater than 90""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [1]",1,1,53,53,NA,NA,219,"2013-12-29-21-30",92
"20","20NENHMVHVKCE1G2S7Y4N7AKR4E243",1.62962962962963,0.12,0.02,600,"[ ""HIT approval rate (%) is greater than 90""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [1]",2,5,262,218,-1.62962962962963,2.33333333333333,219,"2013-09-29-22-06",84
"21","20NENHMVHVKCE1G2S7Y4N7ANXYE425",NA,0.148965517241379,0.06,1450,"[ ""HIT approval rate (%) is greater than 90"" , ""Location is US""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [1]",1,1,51,51,NA,NA,219,"2014-01-16-02-37",3
"22","20NENHMVHVKCE1G2S7Y4N7AOR3C429",0.333333333333333,0.152974504249292,0.03,706,"[ ""HIT approval rate (%) is greater than 90"" , ""Location is US""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [2]",3,4,48,45,-0.333333333333333,NA,219,"2014-01-01-19-53",58
"23","20NENHMVHVKCE1G2S7Y4N7APQ37425",NA,0.141732283464567,0.03,762,"[ ""HIT approval rate (%) is greater than 90"" , ""Location is US""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [2]",3,3,49,49,NA,NA,219,"2014-01-02-21-59",64
"24","20NENHMVHVKCF95JMNY4U79KT4D244",0,0.3,0.3,3600,"[ ""Masters has been granted""]","Market Research on Venture Capital Transactions","You will be asked to complete data for two venture capital transactions. You will be given the name of the buyers/investors as well as the buyer&#39;s target. It is your job to find the requested information.",4,40,125,125,0,0.0571428571428571,206,"2013-12-16-17-39",2
"25","20NENHMVHVKCJ19KLHY4U79KU4E24N",0.0180245133381399,0.14,0.14,3600,"[ ""Masters has been granted""]","Find the details about an Android device from the model number","Given the model number of an Android device, use web searches to find the stats for it like screen sesolution and processor speed",9,162,99,74,-0.0181554103122731,0.229704162366701,122,"2014-01-20-23-39",3
"26","20NENHMVHVKCL1WCV1Y4U79KUY924T",3.16090474439132,0.00166666666666667,0.04,86400,"[ ""Masters has been granted""]","Find the postal code for the addresses","Given the address, find the postal code from any website",36,634,17278,89,-3.19379412857674,4622.75017506709,145,"2013-12-21-21-53",2
"27","20NENHMVHVKCRS64BWY4N7AOX1E42Z",0.00324149108589951,0.18,0.06,1200,"[ ""HIT approval rate (%) is greater than 96""]","Judge Emotions Now!","Below you will see different pictures of people.",11,143,267,263,-0.00336700336700337,1.09831135785334,192,"2013-12-03-11-04",1
"28","20NENHMVHVKCRS64BWY4N7AOX4842Z",-0.00108873162765378,0.333333333333333,0.25,2700,"[ ""HIT approval rate (%) is greater than 96""]","Facial Expression Recognition Test","You will be doing an interactive quiz that will test your abilities to recognize facial expressions. This quiz is part of an experiment studying facial expression processing/recognition conducted by the University of British Columbia. More details are in the link.",21,224,537,539,0.00109469074986316,2.43554601765595,75,"2013-12-04-23-05",2
"29","20NENHMVHVKCRS64BWY4N7AOY0A42U",0.155555555555556,0.075,0.15,7200,"[ ""HIT approval rate (%) is greater than 96""]","Are these search phrases inappropriate?","Determine if a search phrase is offensive.",194,199,1992,1985,-0.155555555555556,6.8,7,"2013-12-12-10-24",3
"30","20NENHMVHVKCRS64BWY4N7AOY5F429",0,0.16,0.08,1800,"[ ""HIT approval rate (%) is greater than 96""]","Find Logos for Schools (v2)","In this job, we want to find school logos. Keep in mind that logos are often different from seals or images of branded names. When we have it, we have also provided a URL for the school that you can often use to confirm that you have the correct image (this is especially helpful with languages where you don&#39;t recognize the characters).",11,176,450,450,0,0.439024390243902,106,"2013-12-16-20-03",2
"31","20NENHMVHVKCRS64BWY4N7AOYXC42Q",0,0.02,0.02,3600,"[ ""HIT approval rate (%) is greater than 96""]","Help us validate Authors and Articles","&lt;div class=&quot;row-fluid&quot;&gt;",33,614,580,580,0,0.13448275862069,176,"2013-12-07-22-58",2
"32","20NENHMVHVKCRS64BWY4N7AOYYD42T",0,0.05,0.05,3600,"[ ""HIT approval rate (%) is greater than 96""]","Does this page contain a download link?","&lt;p&gt;Given a publication title and a web page, determine if the book can be downloaded from the page.&lt;/p&gt;",15,148,999,999,0,1.06060606060606,55,"2013-12-10-09-11",1
"33","20NENHMVHVKCXD0SSCY4U79KV1724H",NA,0.09,0.09,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",2,2,95,95,NA,NA,15,"2014-02-06-23-21",66
"34","20NENHMVHVKCY3TAE8Y4T79LZXF42C",NA,0.05,0.05,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,1,760,760,NA,NA,15,"2013-11-25-20-44",111
"35","20NENHMVHVKCY8PLUAY4S79MV1D24P",NA,0.6,0.04,240,"[ ""HIT approval rate (%) is greater than 85"" , ""Total approved HITs is 100""]","Find emails from web addresses and blogs","Given the URL of a blog or a webaddress find the email address of the blogger",1,1,1610,1610,NA,NA,101,"2013-12-06-19-21",4
"36","20NENHMVHVKCY8PLUAY4S79MV2824M",0.203794500106587,0.6,0.04,240,"[ ""Total approved HITs is greater than 100"" , ""HIT approval rate (%) is greater than 85""]","Find emails from web addresses and blogs","Given the URL of a blog or a webaddress find the email address of the blogger",30,552,1548,592,-0.203490847169008,63.1960935718961,101,"2013-12-06-19-30",6
"37","20NENHMVHVKGJO52GHY4U79KUY724D",0.351851851851852,0.1,0.5,18000,"[ ""Total approved HITs is not less than 500"" , ""HIT approval rate (%) is not less than 95""]","Determine scene category of the image","Select the images that meet the criteria",155,161,105,86,-0.351851851851852,6.96666666666667,51,"2013-12-31-23-19",1
"38","20NENHMVHVKHJ5J6LXY4S79MWZB24A",NA,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",2,2,7978,7978,NA,NA,15,"2014-01-14-03-21",70
"39","20NENHMVHVKHO6XLQXY4T79MR0A24R",NA,0.6,0.02,120,"[ ""Total approved HITs is not less than 50"" , ""HIT approval rate (%) is not less than 95""]","Sentiment Analysis on Tweets","Message Polarity Classification : Given a message, classify whether the message is of objective, positive, negative, or neutral sentiment. For messages conveying both a positive and negative sentiment, whichever is the stronger sentiment should be chosen.",1,1,100,100,NA,NA,248,"2014-02-05-19-09",1
"40","20NENHMVHVKHQIFDJBY4T79MQY824X",NA,0.00208333333333333,0.05,86400,"[ ""SuperEvaluators has been granted""]","Judging Relevance of Twitter Conversations to a Given Search Query","&lt;h3&gt;Introduction&lt;/h3&gt; Your task is to judge the relevance and usefulness of information in twitter question-answering conversations for a given textual query.&lt;br /&gt;&lt;br /&gt; &lt;h3&gt;Description&lt;/h3&gt; For each job, you will see a query and a QA conversation corresponding to the query.&lt;br /&gt; Before reading the conversations, read the given query and figure out what the intent of the query is.&lt;br /&gt; Then, read each conversation to understand the context and information contained in the conversation.&lt;br /&gt; Then, judge both the relevance and usefulness of the conversations according to the following scale:&lt;br /&gt;&lt;br /&gt; &lt;ul&gt; &lt;li&gt;5 - Highly relevant and useful&lt;/li&gt; &lt;li&gt;4 - Fairly relevant and useful&lt;/li&gt; &lt;li&gt;3 - Fairly relevant but not much useful&lt;/li&gt; &lt;li&gt;2 - Marginally relevant and not much useful&lt;/li&gt; &lt;li&gt;1 - Irrelevant or not useful at all&lt;/li&gt; &lt;li&gt;0 - Not sure&lt;/li&gt; &lt;/ul&gt; &lt;b&gt;The quality of your answer is assessed by our evaluation system, and you might get a bonus or get rejected according to your performance.&lt;/b&gt;&lt;br /&gt;&lt;br /&gt; &lt;h3&gt;Examples of Highly Relevant and Useful Documents&lt;/h3&gt; &lt;h5&gt;Example #1&lt;/h5&gt; Query: &quot;coffee grinders recommendation&quot;&lt;br /&gt; Documents:&lt;br /&gt; &lt;a href=&quot;https://twitter.com/_jenniferdt/status/377410169140813825&quot; target=&quot;_blank&quot;&gt;Document #1&lt;/a&gt;&lt;br /&gt; &lt;a href=&quot;https://twitter.com/security_freak/status/387211586022023169&quot; target=&quot;_blank&quot;&gt;Document #2&lt;/a&gt;&lt;br /&gt; &lt;a href=&quot;https://twitter.com/Discourse_/status/379475419486892032&quot; target=&quot;_blank&quot;&gt;Document #3&lt;/a&gt;&lt;br /&gt;&lt;br /&gt; &lt;h5&gt;Example #2&lt;/h5&gt; Query: &quot;itunes to galaxy&quot;&lt;br /&gt; Documents:&lt;br /&gt; &lt;a href=&quot;https://twitter.com/BishopSinegal/status/385448320056827904&quot; target=&quot;_blank&quot;&gt;Document #1&lt;/a&gt;&lt;br /&gt; &lt;a href=&quot;https://twitter.com/JamieGoonery/status/391331393596170240&quot; target=&quot;_blank&quot;&gt;Document #2&lt;/a&gt;&lt;br /&gt; &lt;a href=&quot;https://twitter.com/arune/status/394267591788601344&quot; target=&quot;_blank&quot;&gt;Document #3&lt;/a&gt;&lt;br /&gt;&lt;br /&gt; Thank you very much for your help!&lt;br /&gt;&lt;br /&gt;",1,1,79,79,NA,NA,194,"2014-01-14-02-27",2
"41","20NENHMVHVKI2CN9ZFY4T79LZ2C246",0,0.18,0.03,600,"[ ""Masters has been granted""]","Mark Keypoints on Human Body","You will mark 13 keypoints on the body of one person shown in the picture",47,893,1022,1022,0,0,205,"2013-12-07-20-52",1
"42","20NENHMVHVKIS8JHNRY4T79LY0E42B",3.05555555555556,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,3,670,615,-3.05555555555556,220.5,15,"2014-01-14-13-06",10
"43","20NENIKX6V2UKB1ZJ9Y4R79PXYA42J",0,0.09,0.03,1200,"[ ""Total approved HITs is greater than 1000"" , ""Categorization Masters has been granted"" , ""HIT approval rate (%) is not less than 90""]","Categorizing the emotions and sentiment behind Spanish tweets","Pick the strongest emotion and the associated sentiment behind the tweet text",24,438,1000,1000,0,0,24,"2014-01-04-18-24",1
"44","21WH0OHOVR141XQH7E02PEC1H7354G",0.207729468599034,0.05,0.05,3600,"[ ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 97""]","Compare colors in an image","Given pairs of points in images, your job is to decide which of two points is darker. (updated 2014-01-05 21:45:10.501924+00:00)",2,25,199,156,-0.207729468599034,2.84584980237154,37,"2014-01-05-22-55",19
"45","21WH0OHOVR14APEIBW02MED5JD245L",0.0444444444444444,0.16,0.12,2700,"[ ""Shares Outstanding URLs is not less than 90""]","Find 6-k/8-k Documents with Shares Outstanding Information","Determine if shares outstanding are declared in the company’s Form 8-K, 8-K/A, 6-K, or 6-K/A filing.",4,14,1010,1006,-0.0444444444444444,2.26666666666667,78,"2013-11-27-00-30",1
"46","21WH0OHOVR14DYZPAQ02LEDWA6254N",0,0.138817480719794,0.03,778,"[ ""HIT approval rate (%) is greater than 90""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [2]",1,5,21,21,0,0.666666666666667,219,"2014-01-01-15-59",93
"47","21WH0OHOVR14FD8UJQ02SECWE8Z45L",NA,0.01,0.01,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,1,60,60,NA,NA,15,"2013-12-25-11-25",77
"48","21WH0OHOVR14Q11RSI02RECXJC1454",0.025089605734767,0.06,0.03,1800,"[ """"]","Find Contact information for this Article&#39;s Author","Find email address for this article&#39;s author",2,31,181,174,-0.0268199233716475,0.54679802955665,91,"2013-12-10-12-56",2
"49","21WH0OHOVR14Q2MEPI02PEC1GCX45X",0.851119894598156,0.52,0.13,900,"[ ""Qualified to work on Transcription Tasks is not less than 90"" , ""HIT approval rate (%) is not less than 95""]","Transcribe up to 25 seconds of audio to text - General Media, Low Priority","Transcribe up to 25 seconds of audio into text",71,324,2267,329,-0.851119894598156,107.352249200075,269,"2013-12-12-14-27",2
"50","21WH0OHOVR14QPPRTF02LED0E8Y45K",0,0.16,0.08,1800,"[ ""Location is not VN"" , ""Location is not RO"" , ""Location is not PK"" , ""Location is not PH"" , ""Location is not ID"" , ""Location is not HK"" , ""HIT approval rate (%) is greater than 96""]","Você consegue encontrar o número de telefone ou endereço providenciados neste site?","Nesta atividade, você terá acesso à página da web de uma empresa, com nome, endereço e telefone. Seu objetivo é responder questões a respeito da Empresa na página da web.",248,1256,1766,1766,0,0.623634558093347,284,"2013-12-03-03-07",2
"51","21WH0OHOVR14QPPRTF02LED0G7245O",0,0.12,0.06,1800,"[ ""Location is not VN"" , ""Location is not RO"" , ""HIT approval rate (%) is greater than 96""]","Find Directory Business Listings (with descriptions) (Intl)","&lt;h4&gt;Overview&lt;/h4&gt;",31,40,866,866,0,0,95,"2013-11-23-19-04",1
"52","21WH0OHOVR14QPPRTF02LED0G8345R",0,0.5,0.25,1800,"[ ""HIT approval rate (%) is greater than 96"" , ""Location is US""]","Choose the best image from a forum discussion","Each url is a forum discussion that shows a motorcycle being built. Select 1 image from each discussion, as the &quot;best&quot; image to represent that discussion. If the motorcycle is fully-built, the &quot;best&quot; image is usually of the finished motorcycle. If there is no image of the final fully-built motorcycle, use &lt;b&gt;the image that shows the motorcycle in its most completed state&lt;/b&gt;, even if it&#39;s only partially finished (for example, an image of the finished motorcycle frame is fine).",10,45,966,966,0,3.23529411764706,29,"2013-11-22-01-57",2
"53","21WH0OHOVR14QPPRTF02LED0HDY54Y",0.0196078431372549,1,0.5,1800,"[ ""HIT approval rate (%) is greater than 96""]","Average Values in Scatterplots","Following is a set of scatterplot graphs. Your task is to determine which one of two classes has the highest average height value.",19,36,484,481,-0.0196078431372549,6.40441176470588,11,"2013-12-03-20-59",1
"54","21WH0OHOVR14QPPRTF02LED0I8045Q",NA,0.4,0.02,180,"[ ""HIT approval rate (%) is greater than 96""]","Choose the valid RELATION(s) between the TERMS in the SENTENCE","STEP 1: Read the SENTENCE below and select all the RELATION TYPE(s) that you think are expressed between the TWO HIGHLIGHTED WORDS in the text.",83,83,1355,1355,NA,NA,31,"2013-12-08-13-22",2
"55","21WH0OHOVR14QPPRTF02LED0IA145V",0,0.36,0.09,900,"[ ""HIT approval rate (%) is greater than 96"" , ""Location is US""]","Choose the best category for the transaction description","&lt;div class=&quot;row-fluid&quot;&gt;",16,197,461,461,0,0.0666666666666667,28,"2013-12-13-04-34",4
"56","21WH0OHOVR18VM8PXC02SECWECY54B",0.0308848080133556,2,0.5,900,"[ ""Steve is 100""]","Find publicly available emails of city officials","Find the publicly available names and email addresses of city officials (City Manager, Mayor, IT, DPW)",64,197,84,47,-0.0309106098579783,0.6265664160401,111,"2014-01-15-22-25",3
"57","21WH0OHOVR1AI8MWX202QECYG8354J",0.0311111111111111,0.24,0.08,1200,"[ ""HIT approval rate (%) is not less than 95"" , ""Location is US""]","Image similarity rating","Rating of shape similarity for 9 different pairs of objects. The experiment takes ~1 minute total.",3,53,285,271,-0.0311111111111111,18.1240816326531,185,"2014-01-05-00-07",2
"58","21WH0OHOVR1AP8NZBI02SECWEB3549",0,0.3,0.3,3600,"[ ""Masters has been granted""]","Find events sponsored by brands","Look for events that are sponsored by the brands mentioned.",4,8,99,99,0,0.666666666666667,102,"2014-01-15-00-57",1
"59","21WH0PFQKRJMJ8KM1S02PEC1H8154L",0.631211180124224,0.15,0.05,1200,"[ ""Total approved HITs is greater than 1000"" , ""HIT approval rate (%) is not less than 90""]","Categorizing the emotions and sentiment behind Portuguese tweets","Pick the strongest emotion and the associated sentiment behind the tweet text",8,151,1000,187,-0.631701631701632,36.9918250763321,23,"2014-01-07-15-35",2
"60","230LIA0RYNJ93MI2BRWBRJVUL6127Y",NA,0.15,0.15,3600,"[ ""Masters has been granted""]","Find the name of a high school","Given various information, find the name of a matching high school",27,27,384,384,NA,NA,138,"2014-02-05-16-27",2
"61","230LIA0RYNJ99JZG3MWBVJTWN2Y27M",NA,0.05,0.05,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,1,266,266,NA,NA,15,"2014-01-14-17-00",26
"62","230LIA0RYNJ9AFONDUWBQJUYL0Y272",0.666666666666667,0.2,0.2,3600,"[ ""Location is not VN"" , ""Location is not TR"" , ""Location is not RO"" , ""Location is not PK"" , ""Location is not PH"" , ""Location is not IN"" , ""Location is not HK"" , ""HIT approval rate (%) is greater than 96""]","Encontre e Corrija Endereços de Empresas no Brasil!","&lt;div class=&quot;row-fluid&quot;&gt;",12,13,2000,1994,-0.666666666666667,NA,60,"2013-11-20-15-19",1
"63","230LIA0RYNJ9AFONDUWBQJUYO4427J",0.0111111111111111,0.1,0.05,1800,"[ ""HIT approval rate (%) is greater than 96""]","Job  Recommendations For Executives","Help us evaluate if job recommendations make sense for a specific individuals (executive level).",3,13,1000,999,-0.0111111111111111,0.988888888888889,191,"2013-12-02-23-49",1
"64","230LIA0RYNJ9AFONDUWBQJUYP2227E",0.00154320987654321,0.07,0.07,3600,"[ ""Location is not VN"" , ""Location is not RO"" , ""Location is not MY"" , ""Location is not IN"" , ""HIT approval rate (%) is greater than 96""]","Verify Download Links!","Given a webpage containing a potential download link, determine if the download link is valid according to a number of rules.",5,76,1000,999,-0.00156494522691706,0.528370221327968,282,"2013-12-12-08-18",1
"65","230LIA0RYNJ9AFONDUWBQJUYP2327F",-0.00346020761245675,0.06,0.03,1800,"[ ""HIT approval rate (%) is greater than 96""]","Simple visual research experiment","You will be asked to decide if a circle is near to the left, center or right of an image, relative to a black line at the bottom of the image.",2,30,269,270,0.00396825396825397,2.03571428571429,251,"2013-12-12-16-51",2
"66","230LIA0RYNJ9FX3P9EWBVJTWP05271",NA,0.0375,0.15,14400,"[ ""Masters has been granted""]","Find some career info for the given faculty member.","Given the university name, faculty member name and department url; extract some career info from their resume or CV (curriculum vitae).",2,2,27,27,NA,NA,114,"2014-02-10-18-17",2
"67","230LIA0RYNJ9GR1C71WBXJTUL1Z27W",0,0.2,0.2,3600,"[ ""Total approved HITs is not less than 100"" , ""HIT approval rate (%) is not less than 80""]","Help Improve University Classes","We are a team of researchers trying to find out what makes a university class fun. We need your help finding websites related to education, and then answering a few questions.",1,2,30,30,0,NA,171,"2014-01-08-18-36",2
"68","230LIA0RYNJ9H5P54DWBUJTYMY327O",NA,0.01,0.01,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",14,14,1113,1113,NA,NA,15,"2013-09-26-20-08",12
"69","230LIA0RYNJ9LNPDRTWBUJTZO04270",NA,0.06,0.06,3600,"[ ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 97""]","Compare colors in an image","Given pairs of points in images, your job is to decide which of two points is darker. (updated 2014-01-14 22:34:53.898748+00:00)",4,4,1225,1225,NA,NA,37,"2014-01-15-04-42",4
"70","230LIA0RYNJ9LNPDRTWBUJTZOZY72X",NA,0.05,0.05,3600,"[ ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 97""]","Compare colors in an image","Given pairs of points in images, your job is to decide which of two points is darker. (updated 2014-01-05 21:39:53.745413+00:00)",1,1,70,70,NA,NA,37,"2014-01-05-22-46",2
"71","230LIA0RYNJ9LSU8X6WBUJTZOZ227X",1.125,0.24,0.04,600,"[ ""Total approved HITs is not less than 5000"" , ""HIT approval rate (%) is not less than 95"" , ""Location is US""]","Choose a description for an image","image description",18,26,367,286,-1.125,71.2678571428571,26,"2013-12-27-21-29",11
"72","230LIA0RYNJ9LSU8X6WBUJTZOZ427Z",0.0694444444444444,0.24,0.04,600,"[ ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 95"" , ""Location is US""]","Choose a description for an image","image description",2,26,190,175,-0.0694444444444444,1.02717391304348,26,"2013-12-25-16-31",3
"73","230LIA0RYNJ9SPMF1JWBVJTWN1Y27S",2.17283950617284,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",2,11,587,411,-2.17283950617284,116.027777777778,15,"2013-12-24-03-09",72
"74","230LIA0RYNJ9TCGPQRWBUJTYJ55270",29.8148148148148,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",2,8,5366,3756,-29.8148148148148,2073.86666666667,15,"2013-10-03-00-59",32
"75","230LIA0RYNJ9XOYLU5WBQJT3J0127Q",NA,0.136708860759494,0.03,790,"[ ""HIT approval rate (%) is greater than 90""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [2]",3,3,47,47,NA,NA,219,"2013-12-29-20-00",16
"76","230LIA0RYNJ9XOYLU5WBQJUXO3427T",NA,0.18,0.03,600,"[ ""HIT approval rate (%) is greater than 90"" , ""Location is US""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [1]",1,1,44,44,NA,NA,219,"2014-01-03-18-06",110
"77","230LIA0RYNJ9ZYFLSXWBTJTXQ5X27F",0.833333333333333,0.05,0.1,7200,"[ """"]","Extract purchased items from a shopping receipt","Transcribe all of the item numbers and amounts from a grocery receipt",60,64,394,364,-0.833333333333333,334.333333333333,70,"2013-11-29-17-38",4
"78","230LIA0RYNJCETP3Y7WBXJTUL6027O",5.55555555555556,0.3,0.05,600,"[ ""Masters has been granted""]","Find the website URL for organizations","Given information (name, alternative names, location) on an organization, find the URL for their official website",1,2,807,757,-5.55555555555556,NA,157,"2014-01-21-17-31",1
"79","230LIA0RYNJCETP3Y7WBXJTUL6Z72S",NA,0.24,0.04,600,"[ ""Total approved HITs is not less than 5000"" , ""HIT approval rate (%) is not less than 98""]","Find the website URL for organizations","Given information (name, alternative names, location) on an organization, find the URL for their official website",1,1,813,813,NA,NA,157,"2014-01-23-06-53",2
"80","230LIA0RYNJDLN7MO9WBWJTWH0327P",3.55555555555556,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,3,1139,1075,-3.55555555555556,50,15,"2014-01-02-10-26",98
"81","230LIA0RYNJDSKEAMZWBWJTWH0127L",3.07831570382425,0.01,0.01,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",300,846,17444,2311,-3.07956857956858,1752.17430856605,15,"2013-12-28-17-18",82
"82","230LIA0RYNJDSKEAMZWBWJTWH0W27G",5.12698412698413,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,15,1800,1154,-5.12698412698413,509.054945054945,15,"2013-12-29-02-54",5
